game,shots,hits,accuracy
229,86,17,19.767441860465116
230,41,17,41.46341463414634
231,36,17,47.22222222222222
232,89,17,19.101123595505616
233,68,17,25.0
234,89,17,19.101123595505616
235,79,17,21.518987341772153
236,57,17,29.82456140350877
237,54,17,31.48148148148148
238,56,17,30.357142857142854
239,71,17,23.943661971830984
240,35,17,48.57142857142857
241,76,17,22.36842105263158
242,72,17,23.61111111111111
243,54,17,31.48148148148148
244,44,17,38.63636363636363
245,84,17,20.238095238095237
246,65,17,26.153846153846157
247,33,17,51.515151515151516
248,68,17,25.0
249,78,17,21.794871794871796
250,53,17,32.075471698113205
251,82,17,20.73170731707317
252,60,17,28.333333333333332
253,64,17,26.5625
254,61,17,27.86885245901639
255,48,17,35.41666666666667
256,53,17,32.075471698113205
257,72,17,23.61111111111111
258,78,17,21.794871794871796
259,82,17,20.73170731707317
260,57,17,29.82456140350877
261,93,17,18.27956989247312
262,61,17,27.86885245901639
263,82,17,20.73170731707317
264,64,17,26.5625
265,87,17,19.54022988505747
266,72,17,23.61111111111111
267,60,17,28.333333333333332
268,55,17,30.909090909090907
269,76,17,22.36842105263158
270,74,17,22.972972972972975
271,56,17,30.357142857142854
272,49,17,34.69387755102041
273,49,17,34.69387755102041
274,49,17,34.69387755102041
275,86,17,19.767441860465116
276,55,17,30.909090909090907
277,42,17,40.476190476190474
278,57,17,29.82456140350877
279,56,17,30.357142857142854
280,48,17,35.41666666666667
281,64,17,26.5625
282,59,17,28.8135593220339
283,65,17,26.153846153846157
284,48,17,35.41666666666667
285,81,17,20.98765432098765
286,62,17,27.419354838709676
287,90,17,18.88888888888889
288,79,17,21.518987341772153
289,39,17,43.58974358974359
290,50,17,34.0
291,72,17,23.61111111111111
292,75,17,22.666666666666664
293,88,17,19.318181818181817
294,41,17,41.46341463414634
295,76,17,22.36842105263158
296,58,17,29.310344827586203
297,52,17,32.69230769230769
298,63,17,26.984126984126984
299,60,17,28.333333333333332
300,78,17,21.794871794871796
301,40,17,42.5
302,95,17,17.894736842105264
303,57,17,29.82456140350877
304,73,17,23.28767123287671
305,68,17,25.0
306,52,17,32.69230769230769
307,75,17,22.666666666666664
308,85,17,20.0
309,61,17,27.86885245901639
310,89,17,19.101123595505616
311,84,17,20.238095238095237
312,64,17,26.5625
313,90,17,18.88888888888889
314,69,17,24.637681159420293
315,73,17,23.28767123287671
316,61,17,27.86885245901639
317,78,17,21.794871794871796
318,88,17,19.318181818181817
319,34,17,50.0
320,51,17,33.33333333333333
321,70,17,24.285714285714285
322,66,17,25.757575757575758
323,82,17,20.73170731707317
324,49,17,34.69387755102041
325,85,17,20.0
326,81,17,20.98765432098765
327,43,17,39.53488372093023
328,50,17,34.0
329,59,17,28.8135593220339
330,87,17,19.54022988505747
331,88,17,19.318181818181817
332,30,17,56.666666666666664
333,42,17,40.476190476190474
334,34,17,50.0
335,87,17,19.54022988505747
336,81,17,20.98765432098765
337,46,17,36.95652173913043
338,55,17,30.909090909090907
339,79,17,21.518987341772153
340,80,17,21.25
341,48,17,35.41666666666667
342,74,17,22.972972972972975
343,61,17,27.86885245901639
344,71,17,23.943661971830984
345,66,17,25.757575757575758
346,35,17,48.57142857142857
347,63,17,26.984126984126984
348,56,17,30.357142857142854
349,53,17,32.075471698113205
350,59,17,28.8135593220339
351,63,17,26.984126984126984
352,74,17,22.972972972972975
353,58,17,29.310344827586203
354,71,17,23.943661971830984
355,47,17,36.17021276595745
356,74,17,22.972972972972975
357,52,17,32.69230769230769
358,67,17,25.37313432835821
359,63,17,26.984126984126984
360,68,17,25.0
361,80,17,21.25
362,65,17,26.153846153846157
363,54,17,31.48148148148148
364,61,17,27.86885245901639
365,51,17,33.33333333333333
366,63,17,26.984126984126984
367,59,17,28.8135593220339
368,89,17,19.101123595505616
369,76,17,22.36842105263158
370,63,17,26.984126984126984
371,68,17,25.0
372,79,17,21.518987341772153
373,57,17,29.82456140350877
374,91,17,18.681318681318682
375,53,17,32.075471698113205
376,76,17,22.36842105263158
377,63,17,26.984126984126984
378,41,17,41.46341463414634
379,48,17,35.41666666666667
380,74,17,22.972972972972975
381,74,17,22.972972972972975
382,53,17,32.075471698113205
383,48,17,35.41666666666667
384,63,17,26.984126984126984
385,77,17,22.07792207792208
386,54,17,31.48148148148148
387,40,17,42.5
388,78,17,21.794871794871796
389,65,17,26.153846153846157
390,86,17,19.767441860465116
391,60,17,28.333333333333332
392,73,17,23.28767123287671
393,57,17,29.82456140350877
394,82,17,20.73170731707317
395,43,17,39.53488372093023
396,74,17,22.972972972972975
397,80,17,21.25
398,64,17,26.5625
399,60,17,28.333333333333332
400,88,17,19.318181818181817
401,79,17,21.518987341772153
402,75,17,22.666666666666664
403,71,17,23.943661971830984
404,84,17,20.238095238095237
405,28,17,60.71428571428571
406,48,17,35.41666666666667
407,40,17,42.5
408,76,17,22.36842105263158
409,59,17,28.8135593220339
410,69,17,24.637681159420293
411,80,17,21.25
412,63,17,26.984126984126984
413,58,17,29.310344827586203
414,79,17,21.518987341772153
415,71,17,23.943661971830984
416,77,17,22.07792207792208
417,64,17,26.5625
418,70,17,24.285714285714285
419,62,17,27.419354838709676
420,57,17,29.82456140350877
421,28,17,60.71428571428571
422,41,17,41.46341463414634
423,45,17,37.77777777777778
424,52,17,32.69230769230769
425,67,17,25.37313432835821
426,54,17,31.48148148148148
427,58,17,29.310344827586203
428,59,17,28.8135593220339
429,49,17,34.69387755102041
430,62,17,27.419354838709676
431,58,17,29.310344827586203
432,69,17,24.637681159420293
433,75,17,22.666666666666664
434,68,17,25.0
435,47,17,36.17021276595745
436,74,17,22.972972972972975
437,59,17,28.8135593220339
438,56,17,30.357142857142854
439,70,17,24.285714285714285
440,58,17,29.310344827586203
441,75,17,22.666666666666664
442,70,17,24.285714285714285
443,40,17,42.5
444,39,17,43.58974358974359
445,72,17,23.61111111111111
446,36,17,47.22222222222222
447,100,17,17.0
448,62,17,27.419354838709676
449,32,17,53.125
450,44,17,38.63636363636363
451,89,17,19.101123595505616
452,53,17,32.075471698113205
453,69,17,24.637681159420293
454,43,17,39.53488372093023
455,60,17,28.333333333333332
456,67,17,25.37313432835821
457,58,17,29.310344827586203
458,49,17,34.69387755102041
459,65,17,26.153846153846157
460,52,17,32.69230769230769
461,59,17,28.8135593220339
462,55,17,30.909090909090907
463,62,17,27.419354838709676
464,64,17,26.5625
465,69,17,24.637681159420293
466,70,17,24.285714285714285
467,64,17,26.5625
468,71,17,23.943661971830984
469,75,17,22.666666666666664
470,45,17,37.77777777777778
471,64,17,26.5625
472,60,17,28.333333333333332
473,54,17,31.48148148148148
474,51,17,33.33333333333333
475,69,17,24.637681159420293
476,56,17,30.357142857142854
477,45,17,37.77777777777778
478,88,17,19.318181818181817
479,46,17,36.95652173913043
480,86,17,19.767441860465116
481,41,17,41.46341463414634
482,76,17,22.36842105263158
483,40,17,42.5
484,59,17,28.8135593220339
485,50,17,34.0
486,45,17,37.77777777777778
487,60,17,28.333333333333332
488,60,17,28.333333333333332
489,61,17,27.86885245901639
490,50,17,34.0
491,75,17,22.666666666666664
492,61,17,27.86885245901639
493,89,17,19.101123595505616
494,60,17,28.333333333333332
495,92,17,18.478260869565215
496,38,17,44.73684210526316
497,48,17,35.41666666666667
498,76,17,22.36842105263158
499,64,17,26.5625
500,98,17,17.346938775510203
501,49,17,34.69387755102041
502,33,17,51.515151515151516
503,51,17,33.33333333333333
504,75,17,22.666666666666664
505,61,17,27.86885245901639
506,79,17,21.518987341772153
507,76,17,22.36842105263158
508,47,17,36.17021276595745
509,47,17,36.17021276595745
510,50,17,34.0
511,60,17,28.333333333333332
512,81,17,20.98765432098765
513,69,17,24.637681159420293
514,60,17,28.333333333333332
515,56,17,30.357142857142854
516,54,17,31.48148148148148
517,57,17,29.82456140350877
518,52,17,32.69230769230769
519,59,17,28.8135593220339
520,59,17,28.8135593220339
521,74,17,22.972972972972975
522,77,17,22.07792207792208
523,85,17,20.0
524,72,17,23.61111111111111
525,66,17,25.757575757575758
526,67,17,25.37313432835821
527,74,17,22.972972972972975
528,50,17,34.0
529,90,17,18.88888888888889
530,46,17,36.95652173913043
531,62,17,27.419354838709676
532,79,17,21.518987341772153
533,32,17,53.125
534,42,17,40.476190476190474
535,62,17,27.419354838709676
536,45,17,37.77777777777778
537,58,17,29.310344827586203
538,52,17,32.69230769230769
539,64,17,26.5625
540,64,17,26.5625
541,72,17,23.61111111111111
542,75,17,22.666666666666664
543,78,17,21.794871794871796
544,55,17,30.909090909090907
545,57,17,29.82456140350877
546,63,17,26.984126984126984
547,59,17,28.8135593220339
548,77,17,22.07792207792208
549,55,17,30.909090909090907
550,38,17,44.73684210526316
551,67,17,25.37313432835821
552,47,17,36.17021276595745
553,40,17,42.5
554,64,17,26.5625
555,82,17,20.73170731707317
556,86,17,19.767441860465116
557,45,17,37.77777777777778
558,51,17,33.33333333333333
