game,shots,hits,accuracy
351,47,17,36.17021276595745
352,50,17,34.0
353,62,17,27.419354838709676
354,55,17,30.909090909090907
355,51,17,33.33333333333333
356,36,17,47.22222222222222
357,57,17,29.82456140350877
358,51,17,33.33333333333333
359,46,17,36.95652173913043
360,53,17,32.075471698113205
361,47,17,36.17021276595745
362,54,17,31.48148148148148
363,40,17,42.5
364,42,17,40.476190476190474
365,38,17,44.73684210526316
366,51,17,33.33333333333333
367,47,17,36.17021276595745
368,50,17,34.0
369,59,17,28.8135593220339
370,33,17,51.515151515151516
371,47,17,36.17021276595745
372,38,17,44.73684210526316
373,40,17,42.5
374,55,17,30.909090909090907
375,38,17,44.73684210526316
376,70,17,24.285714285714285
377,62,17,27.419354838709676
378,75,17,22.666666666666664
379,60,17,28.333333333333332
380,28,17,60.71428571428571
381,38,17,44.73684210526316
382,40,17,42.5
383,41,17,41.46341463414634
384,54,17,31.48148148148148
385,36,17,47.22222222222222
386,45,17,37.77777777777778
387,35,17,48.57142857142857
388,43,17,39.53488372093023
389,35,17,48.57142857142857
390,40,17,42.5
391,38,17,44.73684210526316
392,61,17,27.86885245901639
393,54,17,31.48148148148148
394,49,17,34.69387755102041
395,40,17,42.5
396,52,17,32.69230769230769
397,44,17,38.63636363636363
398,51,17,33.33333333333333
399,41,17,41.46341463414634
400,59,17,28.8135593220339
401,56,17,30.357142857142854
402,39,17,43.58974358974359
403,60,17,28.333333333333332
404,76,17,22.36842105263158
405,81,17,20.98765432098765
406,39,17,43.58974358974359
407,33,17,51.515151515151516
408,56,17,30.357142857142854
409,46,17,36.95652173913043
410,85,17,20.0
411,51,17,33.33333333333333
412,44,17,38.63636363636363
413,75,17,22.666666666666664
414,49,17,34.69387755102041
415,54,17,31.48148148148148
416,40,17,42.5
417,48,17,35.41666666666667
418,41,17,41.46341463414634
419,58,17,29.310344827586203
420,76,17,22.36842105263158
421,39,17,43.58974358974359
422,36,17,47.22222222222222
423,86,17,19.767441860465116
424,46,17,36.95652173913043
425,43,17,39.53488372093023
426,48,17,35.41666666666667
427,41,17,41.46341463414634
428,49,17,34.69387755102041
429,43,17,39.53488372093023
430,57,17,29.82456140350877
431,38,17,44.73684210526316
432,50,17,34.0
433,46,17,36.95652173913043
434,36,17,47.22222222222222
435,58,17,29.310344827586203
436,37,17,45.94594594594595
437,64,17,26.5625
438,36,17,47.22222222222222
439,53,17,32.075471698113205
440,49,17,34.69387755102041
441,48,17,35.41666666666667
442,32,17,53.125
443,50,17,34.0
444,38,17,44.73684210526316
445,47,17,36.17021276595745
446,55,17,30.909090909090907
447,61,17,27.86885245901639
448,60,17,28.333333333333332
449,33,17,51.515151515151516
450,83,17,20.481927710843372
451,54,17,31.48148148148148
452,53,17,32.075471698113205
453,43,17,39.53488372093023
454,53,17,32.075471698113205
455,58,17,29.310344827586203
456,55,17,30.909090909090907
457,42,17,40.476190476190474
458,59,17,28.8135593220339
459,41,17,41.46341463414634
460,35,17,48.57142857142857
461,34,17,50.0
462,52,17,32.69230769230769
463,56,17,30.357142857142854
464,48,17,35.41666666666667
465,65,17,26.153846153846157
466,53,17,32.075471698113205
467,32,17,53.125
468,48,17,35.41666666666667
469,45,17,37.77777777777778
470,43,17,39.53488372093023
471,49,17,34.69387755102041
472,45,17,37.77777777777778
473,47,17,36.17021276595745
474,49,17,34.69387755102041
475,56,17,30.357142857142854
476,43,17,39.53488372093023
477,70,17,24.285714285714285
478,46,17,36.95652173913043
479,35,17,48.57142857142857
480,60,17,28.333333333333332
481,33,17,51.515151515151516
482,53,17,32.075471698113205
483,38,17,44.73684210526316
484,52,17,32.69230769230769
485,51,17,33.33333333333333
486,51,17,33.33333333333333
487,32,17,53.125
488,50,17,34.0
489,41,17,41.46341463414634
490,51,17,33.33333333333333
491,51,17,33.33333333333333
492,48,17,35.41666666666667
493,37,17,45.94594594594595
494,43,17,39.53488372093023
495,43,17,39.53488372093023
496,50,17,34.0
497,45,17,37.77777777777778
498,52,17,32.69230769230769
499,50,17,34.0
500,51,17,33.33333333333333
501,35,17,48.57142857142857
502,78,17,21.794871794871796
503,48,17,35.41666666666667
504,44,17,38.63636363636363
505,35,17,48.57142857142857
506,60,17,28.333333333333332
507,57,17,29.82456140350877
508,54,17,31.48148148148148
509,37,17,45.94594594594595
510,48,17,35.41666666666667
511,44,17,38.63636363636363
512,62,17,27.419354838709676
513,56,17,30.357142857142854
514,46,17,36.95652173913043
515,38,17,44.73684210526316
516,63,17,26.984126984126984
517,48,17,35.41666666666667
518,75,17,22.666666666666664
519,49,17,34.69387755102041
520,44,17,38.63636363636363
521,44,17,38.63636363636363
522,39,17,43.58974358974359
523,45,17,37.77777777777778
524,45,17,37.77777777777778
525,41,17,41.46341463414634
526,32,17,53.125
527,51,17,33.33333333333333
528,58,17,29.310344827586203
529,46,17,36.95652173913043
530,42,17,40.476190476190474
531,48,17,35.41666666666667
532,53,17,32.075471698113205
533,38,17,44.73684210526316
534,45,17,37.77777777777778
535,47,17,36.17021276595745
536,59,17,28.8135593220339
537,43,17,39.53488372093023
538,32,17,53.125
539,72,17,23.61111111111111
540,40,17,42.5
541,55,17,30.909090909090907
542,61,17,27.86885245901639
543,44,17,38.63636363636363
544,90,17,18.88888888888889
545,41,17,41.46341463414634
546,53,17,32.075471698113205
547,42,17,40.476190476190474
548,50,17,34.0
549,50,17,34.0
